Bal,Brick,Distance,District,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloors,Price,Rooms,Tel,Totsp,Walk
0.0,,1.4521628296176634,CAD,2,15.0,89.0,11.0,0,0,4.0,55000000,4,1.0,117.0,1.0
,1.0,1.7369580241346667,CAD,2,12.0,94.0,10.0,1,0,7.0,55000000,5,1.0,145.0,1.0
1.0,1.0,1.7509235061715505,CAD,3,7.0,30.0,3.0,2,0,8.0,15400000,2,,46.0,1.0
,1.0,2.715960619318065,CAD,2,40.0,162.0,7.0,3,0,14.0,2500000,5,0.0,232.0,1.0
,1.0,4.194866379577078,CAD,9,15.0,35.0,5.0,4,0,11.0,3750000,2,,70.0,1.0
0.0,,4.053447401245967,CAD,3,,22.7,6.0,5,1,,4403057,1,,22.7,1.0
0.0,,4.053447401245967,CAD,2,,17.3,6.0,6,1,,4585315,1,,17.3,1.0
0.0,1.0,4.098313006603268,CAD,2,,17.3,5.0,7,0,6.0,4677021,1,0.0,17.3,1.0
,1.0,4.053447401245967,CAD,2,,10.0,6.0,8,1,5.0,4814581,1,,17.3,1.0
,,4.502357218918185,CAD,1,7.0,20.0,3.0,9,0,9.0,5100000,1,1.0,32.0,1.0
0.0,,4.053447401245967,CAD,5,,18.3,6.0,10,1,,5377566,1,,18.3,1.0
,1.0,4.053447401245967,CAD,5,,10.0,6.0,11,1,5.0,5377566,1,,18.3,1.0
0.0,,4.053447401245967,CAD,2,,23.7,6.0,12,1,,5496232,1,,23.7,1.0
0.0,1.0,4.098313006603268,CAD,2,,23.7,5.0,13,0,6.0,5606157,1,0.0,23.7,1.0
,,5.9303906707288245,CAD,1,10.0,20.0,13.0,14,0,12.0,6000000,1,,35.0,1.0
,1.0,5.007048377373371,CAD,5,6.0,20.0,10.0,15,0,5.0,6000000,1,,32.0,1.0
,1.0,4.053447401245967,CAD,4,,15.0,6.0,16,1,4.0,6258687,1,,25.5,1.0
0.0,,4.053447401245967,CAD,2,,32.6,6.0,17,1,,6285999,1,,32.6,1.0
,1.0,4.053447401245967,CAD,3,,17.0,6.0,18,1,4.0,6325576,1,,30.0,1.0
0.0,1.0,4.053447401245967,CAD,3,29.5,0.0,5.0,19,1,4.0,6325576,1,,29.5,1.0
1.0,,6.185894636022751,CAD,2,10.0,18.0,10.0,20,0,12.0,6400000,1,1.0,34.0,1.0
,1.0,4.053447401245967,CAD,3,,18.0,6.0,21,1,4.0,6437035,1,,33.5,1.0
0.0,,4.053447401245967,CAD,4,,29.5,6.0,22,1,,6449418,1,,29.5,1.0
,1.0,4.053447401245967,CAD,4,,16.0,6.0,23,1,4.0,6449418,1,,28.5,1.0
0.0,1.0,4.0756791096963285,CAD,3,,29.5,5.0,24,0,6.0,6452087,1,0.0,29.5,1.0
0.0,,4.053447401245967,CAD,3,,28.2,6.0,25,1,,6467402,1,,28.2,1.0
1.0,1.0,4.19281585366573,CAD,5,5.6,18.6,10.0,26,0,5.0,6500000,1,1.0,30.7,1.0
1.0,1.0,4.680353994241609,CAD,5,5.6,20.2,5.0,27,0,9.0,6550000,1,,33.1,1.0
1.0,,1.419474804745054,CAD,2,15.0,45.0,7.0,28,0,8.0,90000000,2,,114.2,1.0
,,1.419474804745054,CAD,7,,0.0,7.0,29,0,8.0,240186980,3,,183.7,1.0
,,5.012951372747482,CAD,47,,145.0,4.0,30,0,73.0,85201116,3,,182.0,1.0
1.0,1.0,4.680353994241609,CAD,5,6.0,18.0,5.0,31,0,9.0,6550000,2,,33.1,1.0
0.0,1.0,5.081396917079152,CAD,4,5.4,17.0,10.0,32,0,5.0,6790000,1,0.0,27.0,1.0
1.0,1.0,4.726545069173114,CAD,4,7.0,19.0,15.0,33,0,5.0,6800000,1,0.0,31.0,1.0
1.0,,4.346056488332603,CAD,9,8.0,17.0,9.0,34,0,12.0,6850000,1,,32.0,1.0
0.0,,4.053447401245967,CAD,1,,26.1,6.0,35,1,,6889007,1,,26.1,1.0
0.0,,4.053447401245967,CAD,1,,25.4,6.0,36,1,,6889376,1,,25.4,1.0
1.0,0.0,2.561433234980412,CAD,3,9.0,19.0,5.0,37,0,16.0,6900000,1,,34.0,1.0
1.0,1.0,5.970895818188223,CAD,4,8.0,20.0,10.0,38,0,6.0,6900000,1,1.0,36.0,1.0
0.0,,4.053447401245967,CAD,3,,28.7,6.0,39,1,,6929285,1,,28.7,1.0
1.0,0.0,2.561433234980412,CAD,8,,0.0,5.0,40,0,16.0,6934500,1,,34.0,1.0
,1.0,4.696812509888295,CAD,2,5.5,22.0,10.0,41,0,9.0,7000000,2,0.0,35.0,1.0
0.0,1.0,4.324503864002741,CAD,2,6.0,18.0,4.0,42,0,9.0,7000000,1,0.0,31.0,1.0
0.0,1.0,4.696812509888295,CAD,2,6.0,24.0,10.0,43,0,9.0,7000000,2,1.0,38.0,1.0
