0,1,2,3,4,5,6,7,8,9,10,11,Distr,12,13,14
,,,,,,,,,,,,,,,
1.0,1.0,23.839112150765928,2.0,,,20.0,1.0,15.0,3964118.0,2.0,,NW,47.0,1.0,152103519.0
1.0,1.0,23.839112150765928,2.0,,,20.0,1.0,15.0,2801360.0,1.0,,NW,30.0,1.0,152104745.0
1.0,1.0,21.923458412967747,5.0,12.0,47.0,15.0,0.0,8.0,13800000.0,3.0,,NW,82.0,0.0,152186332.0
1.0,1.0,23.861184484420576,6.0,,,20.0,1.0,12.0,3302559.0,1.0,,NW,35.0,1.0,152103863.0
1.0,1.0,23.839112150765928,10.0,,,20.0,1.0,15.0,3310465.0,1.0,,NW,34.0,1.0,152103560.0
1.0,1.0,23.89492230926011,2.0,,,20.0,1.0,15.0,3328313.0,1.0,,NW,38.0,1.0,152104082.0
1.0,1.0,23.861184484420576,2.0,,,20.0,1.0,12.0,3328313.0,1.0,,NW,38.0,1.0,152103815.0
1.0,1.0,23.839112150765928,2.0,,,20.0,1.0,15.0,3463676.0,1.0,,NW,40.0,1.0,152103592.0
1.0,1.0,23.839112150765928,9.0,,,20.0,1.0,15.0,3473221.0,1.0,,NW,37.0,1.0,152103627.0
1.0,1.0,23.89492230926011,2.0,,,20.0,1.0,15.0,3643553.0,1.0,,NW,42.0,1.0,152104225.0
1.0,1.0,23.861184484420576,2.0,,,20.0,1.0,12.0,3643553.0,1.0,,NW,42.0,1.0,152103721.0
1.0,1.0,23.89492230926011,4.0,,,20.0,1.0,15.0,3670771.0,1.0,,NW,41.0,1.0,152104460.0
1.0,1.0,23.839112150765928,10.0,,,20.0,1.0,15.0,3762349.0,1.0,,NW,41.0,1.0,152103707.0
1.0,1.0,23.839112150765928,3.0,,,20.0,1.0,15.0,4119813.0,2.0,,NW,48.0,1.0,152104743.0
1.0,1.0,23.839112150765928,8.0,,,20.0,1.0,15.0,4716732.0,2.0,,NW,56.0,1.0,152103552.0
1.0,1.0,23.861184484420576,4.0,,,20.0,1.0,12.0,4784215.0,2.0,,NW,58.0,1.0,152103736.0
1.0,1.0,23.89492230926011,2.0,,,20.0,1.0,15.0,4798687.0,2.0,,NW,61.0,1.0,152103941.0
1.0,1.0,23.861184484420576,2.0,,,20.0,1.0,12.0,4798687.0,2.0,,NW,61.0,1.0,152103816.0
1.0,1.0,23.839112150765928,3.0,,,20.0,1.0,15.0,5292941.0,2.0,,NW,67.0,1.0,152103666.0
1.0,1.0,23.89492230926011,2.0,,,20.0,1.0,15.0,5300546.0,2.0,,NW,70.0,1.0,152104432.0
1.0,1.0,23.839112150765928,12.0,,,20.0,1.0,15.0,5435298.0,2.0,,NW,66.0,1.0,152103719.0
1.0,1.0,20.89561339584834,3.0,12.0,18.0,12.0,0.0,5.0,5600000.0,1.0,,NW,41.0,0.0,148759649.0
1.0,1.0,23.861184484420576,2.0,,,20.0,1.0,12.0,6031732.0,3.0,,NW,83.0,1.0,152103720.0
1.0,1.0,23.89492230926011,2.0,,,20.0,1.0,15.0,6038250.0,3.0,,NW,83.0,1.0,152104228.0
1.0,1.0,23.839112150765928,2.0,,,20.0,1.0,15.0,6212520.0,3.0,,NW,86.0,1.0,152103593.0
1.0,1.0,23.839112150765928,9.0,,,20.0,1.0,15.0,6293108.0,3.0,,NW,81.0,1.0,152103628.0
1.0,1.0,23.839112150765928,2.0,,,20.0,1.0,15.0,7004855.0,3.0,,NW,101.0,1.0,152103590.0
1.0,1.0,23.839112150765928,4.0,,,20.0,1.0,15.0,7087072.0,3.0,,NW,99.0,1.0,152103598.0
