C,E,N,NE,NW,S,SE,SW,W
149831735,138287001,152039252,152058755,151520583,149667907,150774480,151793304,151516648
150284181,147627339,151550930,151080202,48882684,151521912,152048204,151521968,150294194
150978474,150074354,151520677,151591610,151521629,150105903,150955717,151540691,151621581
151894585,150692460,151875176,151406606,151825967,152194009,151636281,152153130,150835717
151575879,148985302,151875136,152100067,152103863,152018195,151728886,149147065,150859901
149031259,152069016,151811103,151463618,152103560,152054569,151728507,151490145,148281778
150346368,151546542,152126685,151976834,152104082,152054577,151728744,150951435,148281793
151575167,151893649,152126677,152063110,152103815,152018184,151728533,152200185,149554284
151004941,151351513,152126692,150304587,151281232,152054575,151728769,151427524,152174444
149031296,151351514,152126691,150999581,152103592,150615513,151728896,151626708,148281795
151636041,43369704,152126688,152085894,152103627,149889520,149887529,150727341,152174446
149031321,151328081,151616475,152042737,152162397,152010622,150408913,149147080,151791025
151004981,151237181,151810992,150117501,151239345,141092460,151563590,152168769,151436697
149300855,151982057,151616450,149348463,152063650,151530804,151775762,150494772,151941298
149031261,151843518,151616490,150999649,152104225,45409045,152193336,150494665,151941309
148794719,148646744,151810977,150631322,152103721,151426885,151832756,150564358,152174449
151824843,149006586,151875148,152192368,152104460,152022344,149390179,152121263,151755038
152152851,152125600,151810970,152100085,152103707,151903084,151791058,150494634,150415529
145609912,151605091,151810953,152192606,152143321,151989377,151817328,150494607,150966718
151005044,151990119,151616493,150738923,152104743,151989320,151791182,150494763,151941329
150910021,152204037,151610419,148791374,151117706,151996696,151431331,152122727,151572483
151005116,151903867,151951787,150829251,150365537,152002676,151235305,150197629,151064452
149031279,139378032,152114401,150619709,151118033,152068886,148748835,151066861,150966794
150459322,151726785,151610083,152192027,151117808,151213883,151906989,149913827,151064447
151005216,152130854,152094211,150654156,151117820,151346083,151616633,151352936,151743699
151005085,145970096,136838562,150999795,150460923,151978348,151116236,151352448,152088942
150679023,150976210,151610165,151233694,152198300,149641627,151906984,150799636,151186808
150678964,138287009,151609986,148539677,152124853,152002838,152135218,152063503,152088904
148721148,151085202,151359885,151385185,152136232,149407636,151522241,149833775,152163603
151971050,152178369,150889552,151591660,151620432,149565409,149558581,151521953,150662770
138640967,150927927,151359838,152206447,151008425,151621795,150685046,151540691,150973341
151894585,150692460,151875176,151406606,151825967,152194009,151636281,152153130,150835717
151575879,148985302,151875136,152100067,152103863,152018195,151728886,149147065,150859901
149031259,152069016,151811103,151463618,152103560,152054569,151728507,151490145,148281778
150346368,151546542,152126685,151976834,152104082,152018184,151728744,150951435,148281793
151575167,151893649,152126677,152063110,152103815,152054577,151728533,152200185,149554284
151004941,151351513,152126692,150304587,151281232,152054575,151728769,151427524,152174444
149031296,151351514,152126691,150999581,152103592,150615513,151728896,151626708,148281795
151636041,43369704,152126688,152085894,152103627,149889520,149887529,150727341,152174446
149031321,151328081,151616475,152042737,152162397,152010622,150408913,149147080,151791025
151004981,151237181,151810992,150117501,151239345,141092460,151563590,152168769,151436697
149300855,151982057,151616450,149348463,152063650,151530804,151775762,150494772,151941298
149031261,151843518,151616490,150999649,152104225,45409045,152193336,150494665,151941309
148794719,148646744,151810977,150631322,152103721,151426885,151832756,150564358,152174449
151824843,149006586,151875148,152192368,152104460,152022344,149390179,152121263,151755038
152152851,152125600,151810970,152100085,152103707,151903084,151791058,150494634,150415529
145609912,151605091,151810953,152192606,152143321,151989377,151817328,150494607,150966718
151005044,151990119,151616493,150738923,152104743,151989320,151791182,150494763,151941329
150910021,152204037,151610419,148791374,151117706,151996696,151431331,152122727,151572483
151005116,151903867,151951787,150829251,150365537,152002676,151235305,150197629,151064452
149031279,139378032,152114401,150619709,151118033,152068886,148748835,151066861,150966794
150459322,151726785,151610083,152192027,151117808,151213883,151906989,149913827,151064447
151005216,152130854,152094211,150654156,151117820,151346083,151616633,151352936,151743699
151005085,145970096,136838562,150999795,150460923,151978348,151116236,151352448,152088942
150679023,150976210,151610165,151233694,152198300,149641627,151906984,150799636,151186808
150678964,138287009,151609986,148539677,152124853,152002838,152135218,152063503,152088904
151456002,151952537,151359803,151085393,148411668,151554881,152095802,150382313,150918126
150531916,150439577,150758815,150918829,47783982,152195878,151383465,152166603,148452524
150070659,151453230,151359895,149574668,151521176,152018232,151656446,150559414,151330765
151894585,150692460,151875176,151406606,151825967,152194009,151636281,152153130,150835717
151575879,148985302,151875136,152100067,152103863,152018195,151728886,149147065,150859901
149031259,152069016,151811103,151463618,152103560,152054569,151728507,151490145,148281778
150346368,151546542,152126685,151976834,152104082,152054577,151728744,150951435,148281793
151575167,151893649,152126677,152063110,152103815,152018184,151728533,152200185,149554284
151004941,151351513,152126692,150304587,151281232,152054575,151728769,151427524,152174444
149031296,151351514,152126691,150999581,152103592,150615513,151728896,151626708,148281795
151636041,43369704,152126688,152085894,152103627,149889520,149887529,150727341,152174446
149031321,151328081,151616475,152042737,152162397,152010622,150408913,149147080,151791025
151004981,151237181,151810992,150117501,151239345,141092460,151563590,152168769,151436697
149300855,151982057,151616450,149348463,152063650,151530804,151775762,150494772,151941298
149031261,151843518,151616490,150999649,152104225,45409045,152193336,150494665,151941309
148794719,148646744,151810977,150631322,152103721,151426885,151832756,150564358,152174449
151824843,149006586,151875148,152192368,152104460,152022344,149390179,152121263,151755038
152152851,152125600,151810970,152100085,152103707,151903084,151791058,150494634,150415529
145609912,151605091,151810953,152192606,152143321,151989377,151817328,150494607,150966718
151005044,151990119,151616493,150738923,152104743,151989320,151791182,150494763,151941329
150910021,152204037,151610419,148791374,151117706,151996696,151431331,152122727,151572483
151005116,151903867,151951787,150829251,150365537,152002676,151235305,150197629,151064452
149031279,139378032,152114401,150619709,151118033,152068886,148748835,151066861,150966794
150459322,151726785,151610083,152192027,151117808,151213883,151906989,149913827,151064447
151005216,152130854,152094211,150654156,151117820,151346083,151616633,151352936,151743699
151005085,145970096,136838562,150999795,150460923,151978348,151116236,151352448,152088942
150679023,150976210,151610165,151233694,152198300,149641627,151906984,150799636,151186808
150678964,138287009,151609986,148539677,152124853,152002838,152135218,152063503,152088904
151818906,152178369,151963954,151602259,150914067,151346079,151615038,41460521,150882515
152142384,151522273,150047414,150602170,151520683,151521482,151522200,151522642,152163525
151733403,148388420,46624899,149954628,149686132,149399664,151521764,152139632,151276157
151894585,150692460,151875176,151406606,151825967,152194009,151636281,152153130,150835717
151575879,148985302,151875136,152100067,152103863,152018195,151728886,149147065,150859901
149031259,152069016,151811103,151463618,152103560,152054569,151728507,151490145,148281778
150346368,151546542,152126685,151976834,152104082,152054577,151728744,150951435,148281793
151575167,151893649,152126677,152063110,152103815,152018184,151728533,152200185,149554284
151004941,151351513,152126692,150304587,151281232,152054575,151728769,151427524,152174444
149031296,151351514,152126691,150999581,152103592,150615513,151728896,151626708,148281795
151636041,43369704,152126688,152085894,152103627,149889520,149887529,150727341,152174446
149031321,151328081,151616475,152042737,152162397,152010622,150408913,149147080,151791025
151004981,151237181,151810992,150117501,151239345,141092460,151563590,152168769,151436697
149300855,151982057,151616450,149348463,152063650,151530804,151775762,150494772,151941298
149031261,151843518,151616490,150999649,152104225,45409045,152193336,150494665,151941309
148794719,148646744,151810977,150631322,152103721,151426885,151832756,150564358,152174449
151824843,149006586,151875148,152192368,152104460,152022344,149390179,152121263,151755038
152152851,152125600,151810970,152100085,152103707,151903084,151791058,150494634,150415529
145609912,151605091,151810953,152192606,152143321,151989377,151817328,150494607,150966718
151005044,151990119,151616493,150738923,152104743,151989320,151791182,150494763,151941329
150910021,152204037,151610419,148791374,151117706,151996696,151431331,152122727,151572483
151005116,151903867,151951787,150829251,150365537,152002676,151235305,150197629,151064452
149031279,139378032,152114401,150619709,151118033,152068886,148748835,151066861,150966794
150459322,151726785,151610083,152192027,151117808,151213883,151906989,149913827,151064447
151005216,152130854,152094211,150654156,151117820,151346083,151616633,151352936,151743699
151005085,145970096,136838562,150999795,150460923,151978348,151116236,151352448,152088942
150679023,150976210,151610165,151233694,152198300,149641627,151906984,150799636,151186808
